transaction_id,amount,merchant,timestamp,fraudulent
cb27bf62-7915-43df-ab25-3593abc93e17,527,Williams-Walker,2024-01-06 07:21:56,False
ab04864e-5c01-4782-ad45-97f7dbe5646b,448,Gilbert PLC,2024-01-04 21:35:03,False
959fde7b-bd3b-4237-8147-49f8ea6372ab,347,Lopez-Soto,2024-01-17 15:39:16,False
c474d4f4-e9db-4a91-9c47-d696e68b4f2f,413,Zhang Inc,2024-01-07 10:06:04,True
947b9d5d-1118-4013-8c7a-ef5a71bdb92a,19,"Li, Wyatt and James",2024-01-16 19:00:22,False
80a27628-dce4-49f1-b750-0db1027093ad,541,Davenport LLC,2024-01-11 20:46:03,False
09ff3d44-165f-4554-b669-8e494dc6dca3,209,Garcia-Stafford,2024-01-01 16:42:17,False
8a6a4a5a-93e7-4d69-b1c2-e61722bdf0dd,915,"Edwards, Greer and Arnold",2024-01-08 13:00:18,True
95a3c43c-a2f1-4357-8024-9b345a32e54f,315,"Morgan, Sanders and Pennington",2024-01-03 08:57:49,False
ed4e574d-2158-499b-805d-a742574afe3e,159,Atkins Group,2024-01-17 09:27:43,True
a9d0e47f-9e62-46f3-998a-4dc0f5d37704,294,Ashley and Sons,2024-01-14 13:29:27,False
b210b711-8a86-4d63-8355-ec85a87bda65,590,Hale-Wise,2024-01-07 04:12:24,False
1e3f03c8-22c9-4496-ab44-1869570a3432,295,Robinson-Rodriguez,2024-01-17 13:41:12,False
dfdcf646-126b-46c0-a1b3-26874a8275d5,60,Humphrey LLC,2024-01-13 11:51:51,False
c72f2410-2a82-4b6e-97f5-378e72b1caa0,279,"Martin, Mann and Valdez",2024-01-15 08:40:57,False
061aa98f-8249-445d-aad3-b524dd25d78b,761,Hamilton Inc,2024-01-02 15:11:24,True
7d54ce8f-02c9-4bcc-9b54-1eb0cfa3a47a,687,"Rodriguez, Miller and Morris",2024-01-07 20:16:20,False
2156e005-8dfa-4380-ac45-0459a987466f,566,"Mahoney, Scott and Wilson",2024-01-01 22:11:49,True
4228ce72-0677-4aca-8bba-38f6ce45de99,188,"Zhang, Carter and Griffin",2024-01-03 16:32:06,False
654aeec9-fcc0-4874-bdfe-bc1671e9bc27,780,Baker-Parsons,2024-01-12 16:04:28,False
8b026879-58b6-4581-aab5-22a5a1c646e1,573,Chandler-Lopez,2024-01-03 22:58:12,False
0d414907-7757-4428-a5b0-d97ea31afd26,241,Smith PLC,2024-01-17 04:59:41,False
b0b4c08b-eb28-4990-8b63-de5c9b4a056c,830,Benson-Perez,2024-01-18 17:21:19,False
fa4a1199-69e0-46a2-8516-1cdfb2cc5c39,470,"Gonzalez, Sawyer and Garcia",2024-01-12 20:40:12,True
e1ce6b22-bd50-436d-a5c7-f58300d50301,677,"Graham, Martinez and White",2024-01-18 19:45:15,False
c9f10d65-94b5-4b23-87e2-94bd3cc1aa79,709,Aguilar Group,2024-01-01 14:35:14,True
c885171e-02d1-4f4f-b02a-93367182b5f1,693,Wood-Cook,2024-01-07 02:14:25,False
18f79f29-dffd-4c0f-a269-c36697c0bc2c,203,Jones-Holmes,2024-01-08 07:29:50,True
b51e103f-fca0-4e7e-b522-92afd13aee98,277,Cross-Cook,2024-01-04 10:30:00,True
03de8451-cc9f-4f70-ab7c-82f9de4f86ce,470,Thomas-Wilkerson,2024-01-16 15:01:25,False
19345def-29c5-416a-8989-9e42fa64f40b,931,Hall-Rangel,2024-01-04 13:27:11,True
8595b8d4-be66-45de-9649-41ef97ff868a,136,"Smith, Mccarty and Bowers",2024-01-11 19:38:27,False
09af33e2-5c36-441a-aecc-296bd7966efe,986,Castillo and Sons,2024-01-18 03:36:28,False
171458ce-8a1e-4d0c-aa54-09d7002713e3,191,Jones and Sons,2024-01-10 05:17:03,False
b440969c-b5d2-4568-9134-f2a30d461d9c,9,Hurley and Sons,2024-01-08 22:43:07,False
feaa99dd-0247-4fc4-b375-926c49cf8d67,250,Wilcox-George,2024-01-16 12:36:10,True
1fd8345f-e57e-4052-9ee6-6bf62612f616,601,Castillo Inc,2024-01-03 14:53:06,False
